Roll,Sem,SubCode,Credit,Grade,Sub_Type
0421CS01,1,CH101,8,BB,CORE
0421CS01,1,CH110,3,BC,CORE
0421CS01,1,EE101,8,BB,CORE
0421CS01,1,HS101,6,BB,CORE
0421CS01,1,MA101,8,BB,CORE
0421CS01,1,ME111,7,AB,CORE
0421CS01,1,PH101,6,CC,CORE
0421CS01,1,PH110,3,AA,CORE
0421CS01,2,CH102,6,CC,CORE
0421CS01,2,CS101,6,BC,CORE
0421CS01,2,CS110,3,BC,CORE
0421CS01,2,EE102,4,BB,CORE
0421CS01,2,MA102,8,BC,CORE
0421CS01,2,ME101,8,BC,CORE
0421CS01,2,ME110,3,AB,CORE
0421CS01,2,PH102,6,CD,CORE
0421CS01,3,CS201,9,BB,CORE
0421CS01,3,CS203,6,BB,CORE
0421CS01,3,CS221,6,BB,CORE
0421CS01,3,EE220,8,BB,CORE
0421CS01,3,HS201,6,BB,HS Elective
0421CS01,3,MA201,8,BB,CORE
0421CS01,4,CS204,6,BB,CORE
0421CS01,4,CS222,6,CC,CORE
0421CS01,4,CS223,3,BB,CORE
0421CS01,4,CS241,7,AB,CORE
0421CS01,4,CS242,5,AB,CORE
0421CS01,4,HS202,6,BB,HS ELECTIVE
0421CS01,4,MA225,8,BB,CORE
0421CS01,4,MA251,6,BB,Elective-Sc.
0411CS02,1,CH101,8,AB,CORE
0411CS02,1,CH110,3,BB,CORE
0411CS02,1,EE101,8,AB,CORE
0411CS02,1,HS101,6,BC,CORE
0411CS02,1,MA101,8,AA,CORE
0411CS02,1,ME111,7,AB,CORE
0411CS02,1,PH101,6,AA,CORE
0411CS02,1,PH110,3,AA,CORE
0411CS02,2,CH102,6,AB,CORE
0411CS02,2,CS101,6,CC,CORE
0411CS02,2,CS110,3,BC,CORE
0411CS02,2,EE102,4,AB,CORE
0411CS02,2,MA102,8,AA,CORE
0411CS02,2,ME101,8,AB,CORE
0411CS02,2,ME110,3,BB,CORE
0411CS02,2,PH102,6,AB,CORE
0411CS02,3,CS201,9,BB,CORE
0411CS02,3,CS203,6,AB,CORE
0411CS02,3,CS221,6,AB,CORE
0411CS02,3,EE220,8,AB,CORE
0411CS02,3,HS201,6,AB,HS Elective
0411CS02,3,MA201,8,AB,CORE
0411CS02,4,CS204,6,BB,CORE
0411CS02,4,CS222,6,BB,CORE
0411CS02,4,CS223,3,AA,CORE
0411CS02,4,CS241,7,AB,CORE
0411CS02,4,CS242,5,AB,CORE
0411CS02,4,HS202,6,AB,HS ELECTIVE
0411CS02,4,MA225,8,AA,CORE
0411CS02,4,MA251,6,AB,Elective-Sc.
0411CS02,5,CS301,6,BB,CORE
0411CS02,5,CS331,8,BB,CORE
0411CS02,5,CS341,6,AB,CORE
0411CS02,5,CS342,5,AB,CORE
0411CS02,5,CS343,6,AB,CORE
0411CS02,5,CS344,6,AA,CORE
0411CS02,5,CS345,5,AB,CORE
0412CS03,1,CH101,8,AB,CORE
0412CS03,1,CH110,3,AA,CORE
0412CS03,1,EE101,8,BB,CORE
0412CS03,1,HS101,6,BB,CORE
0412CS03,1,MA101,8,AA,CORE
0412CS03,1,ME111,7,BB,CORE
0412CS03,1,PH101,6,AA,CORE
0412CS03,1,PH110,3,AA,CORE
0412CS03,2,CH102,6,AB,CORE
0412CS03,2,CS101,6,AB,CORE
0412CS03,2,CS110,3,AB,CORE
0412CS03,2,EE102,4,BB,CORE
0412CS03,2,MA102,8,AB,CORE
0412CS03,2,ME101,8,BB,CORE
0412CS03,2,ME110,3,BC,CORE
0412CS03,2,PH102,6,AB,CORE
0412CS03,3,CS201,9,AB,CORE
0412CS03,3,CS203,6,AA,CORE
0412CS03,3,CS221,6,AB,CORE
0412CS03,3,EE220,8,AB,CORE
0412CS03,3,HS221,6,BB,HS Elective
0412CS03,3,MA201,8,AA,CORE
0412CS03,4,CS204,6,BB,CORE
0412CS03,4,CS222,6,BB,CORE
0412CS03,4,CS223,3,AA,CORE
0412CS03,4,CS241,7,BC,CORE
0412CS03,4,CS242,5,AB,CORE
0412CS03,4,HS211,6,BB,HS ELECTIVE
0412CS03,4,MA214,6,AA,Elective-Sc.
0412CS03,4,MA225,8,AA,CORE
0412CS03,5,CS301,6,BB,CORE
0412CS03,5,CS331,8,AB,CORE
0412CS03,5,CS341,6,AA,CORE
0412CS03,5,CS342,5,AB,CORE
0412CS03,5,CS343,6,AB,CORE
0412CS03,5,CS344,6,BB,CORE
0412CS03,5,CS345,5,AB,CORE
0412CS03,6,CS302,6,AB,CORE
0412CS03,6,CS346,6,BB,CORE
0412CS03,6,CS347,3,AB,CORE
0412CS03,6,CS348,8,BB,CORE
0412CS03,6,CS362,8,AB,CORE
0412CS03,6,CS399,3,AA,CORE
0412CS03,6,HS331,6,BB,HS Elective
0401CS05,1,CH101,8,BC,CORE
0401CS05,1,CH110,3,BB,CORE
0401CS05,1,EE101,8,CC,CORE
0401CS05,1,HS101,6,CC,CORE
0401CS05,1,MA101,8,BC,CORE
0401CS05,1,ME111,7,BC,CORE
0401CS05,1,PH101,6,BC,CORE
0401CS05,1,PH110,3,AB,CORE
0401CS05,2,CH102,6,BC,CORE
0401CS05,2,CS101,6,CC,CORE
0401CS05,2,CS110,3,BB,CORE
0401CS05,2,EE102,4,BB,CORE
0401CS05,2,MA102,8,BC,CORE
0401CS05,2,ME101,8,BC,CORE
0401CS05,2,ME110,3,BB,CORE
0401CS05,2,PH102,6,DD,CORE
0401CS05,3,CS201,9,BB,CORE
0401CS05,3,CS203,6,BB,CORE
0401CS05,3,CS221,6,BC,CORE
0401CS05,3,EE220,8,BC,CORE
0401CS05,3,HS201,6,BB,HS Elective
0401CS05,3,MA201,8,BB,CORE
